date;EWI US Equity;EWD US Equity;EWI US Equity_cp_precio;EWI US Equity_mp_precio;EWI US Equity_lp_precio;EWI US Equity_cp_mp;EWI US Equity_cp_lp;EWI US Equity_mp_lp;EWI US Equity_compare;EWD US Equity_cp_precio;EWD US Equity_mp_precio;EWD US Equity_lp_precio;EWD US Equity_cp_mp;EWD US Equity_cp_lp;EWD US Equity_mp_lp;EWD US Equity_compare;CLASS
2005-05-09;75.9137;31.1844;0.9999142823646168;1.0230229062738336;0.9396225582470619;0.9774114306067831;1.0641658968150294;1.0887594143997157;0.9815119010139144;1.0021739349528238;1.0186823539975138;0.953171874398739;0.9837943408169312;1.0514094696562417;1.0687289263965105;0.9921403009196906;0
2005-05-10;75.0594;30.7861;1.0101044734475053;1.033658462497701;0.9513106419715585;0.977212986779714;1.0618029788399073;1.086562492726329;0.98211416558086;1.013966878373217;1.0309164200726975;0.9664823248154211;0.983558762505417;1.0491313212239701;1.0666686742249343;1.006967430106444;0
2005-05-11;74.9984;30.8321;1.0094149627573001;1.033587889874983;0.9530628520075093;0.9766126060933176;1.059127381401019;1.0844907948073494;0.9971519392413705;1.0099349147711079;1.0284146068545468;0.9659806176030836;0.9820308930267335;1.0455022558082887;1.064632755682389;1.0144070627689972;0
2005-05-12;74.6933;30.7095;1.0114665094268345;1.0368702681498867;0.9579577083888381;0.9754995783914407;1.0558571642249128;1.0823758283586122;1.001633345962757;1.0106179334919623;1.031492860515478;0.9707561340953137;0.9797624124968894;1.0410626294252547;1.0625664101280878;1.0214493886256697;0
2005-05-13;73.7474;30.8014;1.0213072887024774;1.0489943781068882;0.9711529016616179;0.9736060650254604;1.0516441715357556;1.0801536774611757;1.0177904576974917;1.0042637208512781;1.0273610290441368;0.9688033498477353;0.9775178271903612;1.0366022382242135;1.060443307927873;1.0174050530170706;1
2005-05-16;74.5102;30.9393;1.0088918794243695;1.0368466062364605;0.9621568187979633;0.9730387053938856;1.0485732260202583;1.0776274573741609;1.0208843889829848;0.9977368127730285;1.0212770166099452;0.9654346736997941;0.9769502265751003;1.033458648164608;1.0578416587174655;1.0138626277905447;1
2005-05-17;73.7169;31.0006;1.0182412135383563;1.0464317408898085;0.9733993765337394;0.9730603284955012;1.0460672547010437;1.0750281601947766;1.018211563427111;0.9952699072183854;1.0179730069740611;0.9644364302626414;0.9776977389379302;1.0319704606630706;1.0555107366660137;1.013831990348574;1
2005-05-18;74.7848;31.2763;1.0040799925729742;1.0303058910366802;0.9604287569131695;0.9745455221678702;1.045449738302402;1.0727561868806352;1.0118312812229222;0.9887354231250405;1.00802019420456;0.9569304073691595;0.9808686659350736;1.0332364981935531;1.053389239637456;1.007344219105201;1
2005-05-19;74.8153;31.3682;1.0036997779865877;1.028621578741246;0.9609958925513901;0.9757716527927054;1.0444371154613588;1.0703704216781964;1.0114187873336071;0.9872687261985974;1.0040416090180524;0.955141337405399;0.9832946337394735;1.0336362667335404;1.0511968958913338;1.0019510204602113;1
2005-05-20;75.0594;31.3375;1.0001453134831495;1.0242601459643954;0.9588920241835134;0.9764563401434109;1.0430218296317177;1.0681704718907663;1.009756273031759;0.9898417003817879;1.0040965616274455;0.9571167291583579;0.985803296425442;1.0341912017902004;1.049084746967488;1.0102656561627443;0
